subject,run,trial,set_size,probe,response,correct,response_time
006,3,11,3,lure,new,1,1.046500798400018
006,3,12,5,target,old,1,0.8240006286000039
006,3,13,3,target,old,1,0.8235006282999962
006,3,14,5,lure,new,1,0.6655005078000045
006,3,15,5,lure,new,1,0.9464007219999644
006,3,16,5,lure,new,1,0.7932006051000258
006,3,17,3,target,old,1,0.7953006067999695
006,3,18,3,target,old,1,0.4911003746000233
006,3,19,3,lure,new,1,0.7319005583999569
006,3,20,7,target,old,1,0.9152006982000103
006,3,21,3,target,old,1,0.5073003870999742
006,3,22,3,lure,new,1,1.0780008223999857
006,3,23,5,target,new,0,0.7014005350999923
006,3,24,7,target,old,1,0.6735005137999224
006,3,25,7,target,old,1,0.78970060249992
006,4,1,3,target,old,1,1.7317902557000018
006,4,2,5,target,old,1,0.6571963020999974
006,4,3,7,lure,new,1,0.6203965091999919
006,4,4,5,target,old,1,0.7658956905999901
006,4,5,5,lure,new,1,0.8062954632000014
006,4,6,3,lure,new,1,0.5937966589000041
006,4,7,7,target,old,1,1.1193937015000017
006,4,8,7,lure,new,1,0.7396958379000012
006,4,9,5,lure,new,1,0.7851955820000001
006,4,10,7,target,old,1,0.5063971506999962
006,4,11,5,lure,new,1,0.5466969238999866
006,4,12,7,lure,new,1,0.657196302099976
006,4,13,3,target,old,1,0.7648956961999716
006,4,14,3,lure,new,1,0.6252964816000031
006,4,15,5,lure,new,1,0.8820950367000364
006,4,16,5,target,new,0,2.8328840602000014
006,4,17,5,lure,new,1,0.8124954282999965
006,4,18,7,lure,new,1,0.7218959381000332
006,4,19,7,lure,new,1,0.7242959246000282
006,4,20,5,target,old,1,1.0550940633000323
006,4,21,7,target,old,1,0.600296622299993
006,4,22,3,target,old,1,0.9544946292999725
006,4,23,3,lure,new,1,0.7253959184999985
006,4,24,3,lure,new,1,0.7554957490999641
